Lemma,Goal,Result,# Abducts,Time
Ztrichotomy,n < m \/ n = m \/ n > m,smt success,,
not_Zeq,n <> m -> n < m \/ m < n,smt success,,
Zle_not_lt,n <= m -> ~ m < n,smt success,,
Zlt_not_le,n < m -> ~ m <= n,smt success,,
Zle_not_gt,n <= m -> ~ n > m,smt success,,
Zgt_not_le,n > m -> ~ n <= m,smt success,,
Znot_ge_lt,~ n >= m -> n < m,smt success,,
Znot_lt_ge,~ n < m -> n >= m,smt success,,
Znot_gt_le,~ n > m -> n <= m,smt success,,
Znot_le_gt,~ n <= m -> n > m,smt success,,
not_Zne,~ Zne n m -> n = m,timeout,1,
Zgt_asym,n > m -> ~ m > n,smt success,,
Zgt_irrefl,~ n > n,smt success,,
Zle_lt_or_eq,n <= m -> n < m \/ n = m,smt success,,
Zgt_trans,n > m -> m > p -> n > p,smt success,,
Zle_gt_trans,m <= n -> m > p -> n > p,smt success,,
Zgt_le_trans,n > m -> p <= m -> n > p,smt success,,
Zge_trans,n >= m -> m >= p -> n >= p,smt success,,
Zsucc_le_compat,Z.succ m <= Z.succ n,timeout,3,
Zsucc_lt_compat,n < m -> Z.succ n < Z.succ m,timeout,2,
Zsucc_gt_compat,m > n -> Z.succ m > Z.succ n,timeout,1,
Zsucc_gt_reg,Z.succ m > Z.succ n -> m > n,timeout,1,
Zsucc_le_reg,Z.succ m <= Z.succ n -> m <= n,timeout,2,
Zsucc_lt_reg,Z.succ n < Z.succ m -> n < m.,timeout,1,
Zgt_succ,Z.succ n > n,abduce success,1,0.249
Znot_le_succ,~ Z.succ n <= n,abduce success,1,0.259
Zgt_le_succ,m > n -> Z.succ n <= m,abduce success,3,0.462
Zle_gt_succ,n <= m -> Z.succ m > n,abduce success,1,2.104
Zle_lt_succ,n <= m -> n < Z.succ m,abduce success,1,2.117
Zlt_le_succ,n < m -> Z.succ n <= m,abduce success,4,0.594
Zgt_succ_le,Z.succ m > n -> n <= m,abduce success,4,0.564
Zlt_succ_le,n < Z.succ m -> n <= m,abduce success,4,2.491
Zle_succ_gt,Z.succ n <= m -> m > n,abduce success,2,0.345
Zle_succ_le,Z.succ n <= m -> n <= m,abduce success,4,0.186
Zgt_succ_pred,m > Z.succ n -> Z.pred m > n,abduce success,2,3.33
Zgt_succ_pred,m > Z.succ n -> Z.pred m > n,abduce success,3,3.444
Zlt_succ_pred,Z.succ n < m -> n < Z.pred m,abduce success,2,2.114
Zlt_succ_pred,Z.succ n < m -> n < Z.pred m,abduce success,2,1.47
Zlt_0_le_0_pred,0 < n -> 0 <= Z.pred n,abduce success,1,0.368
Zle_neg_pos,Zneg p <= Zpos q,timeout,2,
Zgt_pos_0,Zpos p > 0,timeout,1,
Zle_0_pos,0 <= Zpos p,timeout,1,
Zlt_neg_0,Zneg p < 0,timeout,1,
Zle_0_nat,0 <= Z.of_nat n,timeout,1,
Zgt_succ_gt_or_eq,Z.succ n > m -> n > m \/ m = n,abduce success,4,0.529
Zplus_gt_compat_l,n > m -> p + n > p + m,smt success,,
Zplus_gt_compat_r,n > m -> n + p > m + p,smt success,,
Zplus_le_compat_l,n <= m -> p + n <= p + m,smt success,,
Zplus_le_compat_r,n <= m -> n + p <= m + p,smt success,,
Zplus_lt_compat_l,n < m -> p + n < p + m,smt success,,
Zplus_lt_compat_r,n < m -> n + p < m + p,smt success,,
Zplus_le_reg_l,p + n <= p + m -> n <= m.,smt success,,
Zplus_le_reg_r,n + p <= m + p -> n <= m,smt success,,
Zplus_lt_reg_l,p + n < p + m -> n < m,smt success,,
Zplus_lt_reg_r,n + p < m + p -> n < m,smt success,,
Zplus_gt_reg_l,p + n > p + m -> n > m,smt success,,
Zplus_gt_reg_r,n + p > m + p -> n > m,smt success,,
Zeq_plus_swap,n + p = m <-> n = m - p,smt success,,
Zlt_0_minus_lt,0 < n - m -> m < n,smt success,,
Zle_0_minus_le,0 <= n - m -> m <= n,smt success,,
Zle_minus_le_0,m <= n -> 0 <= n - m,smt success,,
