File,ID,Lemma,Result,Time,Hypotheses,Goal,Abduct,Comments
Numbers/Cyclic/Int31/Cyclic31.v,mul_0_l 1,mul_0_l,timeout,,[|p|] < 31,(0 * 2 ^ [|p|] + [|addmuldiv31 (31 - p) w 0|] / 2 ^ (31 - [|p|])) mod wB = [|w|] mod 2 ^ [|p|],,"Extra symbols confusing the smt solver, also not sure what generalize is doing."
Numbers/Cyclic/Int31/Cyclic31.v,mul_0_r 2,mul_0_r,abduce success,1.514,0 <= j,Z.succ j * 0 + Z.succ j <= ((Z.succ j + 0) / 2 + 1) ^ 2,,Need to axiomatize division to isolate abduct. Not sure what lia is doing.
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 23,mul_1_l,timeout,,Many,z <= [|b|] * z,,
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 24,mul_1_l,timeout,,Many,((2 *' [|x|]) *' 2 ^ Z.of_nat n) = ([|x|] *' (2 *' 2 ^ Z.of_nat n)),,
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 25,mul_1_l,exception,,Many,2 ^ Z.of_nat 31 / 2 <= 2 ^ Z.of_nat 0 * [|x|] < 2 ^ Z.of_nat 31,,
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 26,mul_1_l,abduce success,0.566,,j * k + j <= (j + k) / 2 * ((j + k) / 2) + (j + k) / 2 * 1 + (1 * ((j + k) / 2) + 1 * 1) -> j + k - 1 <= (j + k) / 2 + (j + k) / 2 -> j * k + j * 1 + (1 * k + 1 * 1) + (j + 1) <= (j + k) / 2 * ((j + k) / 2) + (j + k) / 2 * 1 + (j + k) / 2 * 1 + (1 * ((j + k) / 2) + 1 * 1 + 1 * 1) + (1 * ((j + k) / 2) + 1 * 1 + 1 * 1),(mul' 1 k) = k,There are multiple applications of mul_1_l and mul_1_r and this only works for the last application.
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 27,mul_1_l,timeout,,1 < i; 0 <= i - 2; 1 <= (i / 2 *' i / 2),i - 1 <= i / 2 + i / 2 -> i < (i / 2 *' i / 2) + i / 2 + (1 *' i / 2 + 1),,Can't do the deduction but smt works after rewriting mul_1_l so it should be abduced.
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 28,mul_1_l,timeout,,[|r|] + (1 *' Int31_Specs.wB) = (([|j|] *' [|j|]) + phi2 ih il) / [|j|]; ,0 < [|r|] / 2 + [|v30|] < [|j|],,"Can't do the deduction, smt also doesnt work after rewriting mul_1_l so lia might be doing something more. Also leaving out many hypotheses."
Numbers/Cyclic/Int31/Cyclic31.v,mul_1_l 29,mul_1_l,timeout,,Many,[|ih|] * base + [|il|] < ([|ih|] + 1) * base,,
Numbers/Cyclic/Int31/Cyclic31.v,mul_add_distr_r 10,mul_add_distr_r,exception,,Many,[|ih|] * base + [|il|] < ([|ih|] + 1) * base + 0,,"Extra symbols confusing the smt solver, also don't know what auto is doing."
